uid,id,rarity,time,banner,type,manual
1727770200000231811,20002,3,2024-10-01T08:45:23.000Z,1001,1,false
1727770200000231911,20009,3,2024-10-01T08:45:23.000Z,1001,1,false
1727896200000165411,20003,3,2024-10-02T19:16:29.000Z,1001,1,false
1727896200000165511,20012,3,2024-10-02T19:16:29.000Z,1001,1,false
1727896200000165611,20001,3,2024-10-02T19:16:29.000Z,1001,1,false
1727896200000165711,20001,3,2024-10-02T19:16:29.000Z,1001,1,false
1727896200000165811,20012,3,2024-10-02T19:16:29.000Z,1001,1,false
1727896200000165911,20012,3,2024-10-02T19:16:29.000Z,1001,1,false
1727896200000166011,20001,3,2024-10-02T19:16:29.000Z,1001,1,false
1727896200000166111,21001,4,2024-10-02T19:16:29.000Z,1001,1,false
1727896200000166211,20010,3,2024-10-02T19:16:29.000Z,1001,1,false
1727896200000166311,20015,3,2024-10-02T19:16:29.000Z,1001,1,false
1731496200001431011,20007,3,2024-11-13T11:03:27.000Z,1001,1,false
1731496200001431111,20018,3,2024-11-13T11:03:27.000Z,1001,1,false
1731496200001431211,20019,3,2024-11-13T11:03:27.000Z,1001,1,false
1731496200001431311,20013,3,2024-11-13T11:03:27.000Z,1001,1,false
1731496200001431411,20002,3,2024-11-13T11:03:27.000Z,1001,1,false
1731496200001431511,20012,3,2024-11-13T11:03:27.000Z,1001,1,false
1731496200001431611,1105,4,2024-11-13T11:03:27.000Z,1001,1,false
1731496200001431711,21008,4,2024-11-13T11:03:27.000Z,1001,1,false
1731496200001431811,20002,3,2024-11-13T11:03:27.000Z,1001,1,false
1731496200001431911,20013,3,2024-11-13T11:03:27.000Z,1001,1,false
1733083800000083411,21045,4,2024-12-01T20:33:39.000Z,1001,1,false
1733083800000083511,20013,3,2024-12-01T20:33:39.000Z,1001,1,false
1733083800000083611,20009,3,2024-12-01T20:33:39.000Z,1001,1,false
1733083800000083711,20002,3,2024-12-01T20:33:39.000Z,1001,1,false
1733083800000083811,20007,3,2024-12-01T20:33:39.000Z,1001,1,false
1733083800000083911,20015,3,2024-12-01T20:33:39.000Z,1001,1,false
1733083800000084011,20015,3,2024-12-01T20:33:39.000Z,1001,1,false
1733083800000084111,20003,3,2024-12-01T20:33:39.000Z,1001,1,false
1733083800000084211,20018,3,2024-12-01T20:33:39.000Z,1001,1,false
1733083800000084311,20001,3,2024-12-01T20:33:39.000Z,1001,1,false
1734808200000004011,21048,4,2024-12-21T19:02:38.000Z,1001,1,false
1734808200000004111,20005,3,2024-12-21T19:02:38.000Z,1001,1,false
1734808200000004211,1008,4,2024-12-21T19:02:38.000Z,1001,1,false
1734808200000004311,20009,3,2024-12-21T19:02:38.000Z,1001,1,false
1734808200000004411,20014,3,2024-12-21T19:02:38.000Z,1001,1,false
1734808200000004511,20003,3,2024-12-21T19:02:38.000Z,1001,1,false
1734808200000004611,20002,3,2024-12-21T19:02:38.000Z,1001,1,false
1734808200000004711,20007,3,2024-12-21T19:02:38.000Z,1001,1,false
1734808200000004811,21004,4,2024-12-21T19:02:38.000Z,1001,1,false
1734808200000004911,20015,3,2024-12-21T19:02:38.000Z,1001,1,false
1735164600000276211,20011,3,2024-12-25T22:37:38.000Z,1001,1,false
1735164600000276311,1111,4,2024-12-25T22:37:38.000Z,1001,1,false
1735164600000276411,20011,3,2024-12-25T22:37:38.000Z,1001,1,false
1735164600000276511,20008,3,2024-12-25T22:37:38.000Z,1001,1,false
1735164600000276611,20010,3,2024-12-25T22:37:38.000Z,1001,1,false
1735164600000276711,20007,3,2024-12-25T22:37:38.000Z,1001,1,false
1735164600000276811,20000,3,2024-12-25T22:37:38.000Z,1001,1,false
1735164600000276911,20002,3,2024-12-25T22:37:38.000Z,1001,1,false
1735164600000277011,20017,3,2024-12-25T22:37:38.000Z,1001,1,false
1735164600000277111,20017,3,2024-12-25T22:37:38.000Z,1001,1,false
1735351800000011611,21010,4,2024-12-28T02:09:47.000Z,1001,1,false
1737130200000147611,20010,3,2025-01-17T16:24:41.000Z,1001,1,false
1737130200000148011,1215,4,2025-01-17T16:24:47.000Z,1001,1,false
1737130200000148311,20001,3,2025-01-17T16:24:51.000Z,1001,1,false
1737130200000148611,20000,3,2025-01-17T16:24:54.000Z,1001,1,false
